City/Town,Lat,Long,Date,Confirmed,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-02-26,1,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-02-26,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-02-26,0,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-02-26,0,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-02-26,0,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-02-26,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-02-26,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-02-26,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-02-26,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-02-26,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-02-26,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-02-26,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-02-26,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-02-26,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-02-26,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-02-26,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-02-26,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-02-26,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-02-26,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-02-26,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-02-26,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-02-26,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-02-26,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-02-26,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-02-26,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-02-26,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-02-26,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-02-26,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-02-26,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-02-26,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-02-26,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-02-26,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-02-26,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-02-27,0,,,,,,,,,,,,,0
Bitola,41.0314293,21.3347397,2020-02-27,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-02-27,0,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-02-27,0,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-02-27,0,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-02-27,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-02-27,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-02-27,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-02-27,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-02-27,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-02-27,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-02-27,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-02-27,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-02-27,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-02-27,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-02-27,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-02-27,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-02-27,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-02-27,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-02-27,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-02-27,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-02-27,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-02-27,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-02-27,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-02-27,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-02-27,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-02-27,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-02-27,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-02-27,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-02-27,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-02-27,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-02-27,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-02-27,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-02-28,0,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-02-28,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-02-28,0,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-02-28,0,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-02-28,0,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-02-28,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-02-28,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-02-28,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-02-28,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-02-28,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-02-28,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-02-28,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-02-28,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-02-28,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-02-28,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-02-28,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-02-28,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-02-28,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-02-28,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-02-28,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-02-28,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-02-28,0,,,,,,,,,,,,,
Berovo,41.7030602,22.8577805,2020-02-28,0,,,,,,,,,,,,,
Sveti Nikole,41.8695602,21.9527397,2020-02-28,0,,,,,,,,,,,,,
Probishtip,42.0030594,22.1786098,2020-02-28,0,,,,,,,,,,,,,
Kratovo,42.0783806,22.1807003,2020-02-28,0,,,,,,,,,,,,,
Bogdanci,41.2030602,22.5755596,2020-02-28,0,,,,,,,,,,,,,
Demir Kapija,41.4061317,22.2463093,2020-02-28,0,,,,,,,,,,,,,
Makedonski Brod ,41.5136108,21.2152805,2020-02-28,0,,,,,,,,,,,,,
Krusevo,41.3688889,21.2488899,2020-02-28,0,,,,,,,,,,,,,
Valandovo,41.31744,22.5600204,2020-02-28,0,,,,,,,,,,,,,
Gradsko,41.5774994,21.9427795,2020-02-28,0,,,,,,,,,,,,,
Dojran,41.18647,22.7203007,2020-02-28,0,,,,,,,,,,,,,
Skopje,41.99646,21.4314098,2020-02-29,0,,,,,,,,,,,,,
Bitola,41.0314293,21.3347397,2020-02-29,0,,,,,,,,,,,,,
Kumanovo,42.1322212,21.7144394,2020-02-29,0,,,,,,,,,,,,,
Prilep,41.3451385,21.5550404,2020-02-29,0,,,,,,,,,,,,,
Tetovo,42.0097313,20.97155,2020-02-29,0,,,,,,,,,,,,,
Veles,41.7155609,21.7755604,2020-02-29,0,,,,,,,,,,,,,
Ohrid,41.1172218,20.8019409,2020-02-29,0,,,,,,,,,,,,,
Gostivar,41.7960091,20.9081898,2020-02-29,0,,,,,,,,,,,,,
Shtip,41.7458305,22.1958294,2020-02-29,0,,,,,,,,,,,,,
Strumica,41.4375,22.6433296,2020-02-29,0,,,,,,,,,,,,,
Kavadarci,41.4330597,22.01194,2020-02-29,0,,,,,,,,,,,,,
Struga,41.17799,20.6778393,2020-02-29,0,,,,,,,,,,,,,
Kochani,41.9163895,22.4127808,2020-02-29,0,,,,,,,,,,,,,
Ki?evo,41.5126686,20.9588604,2020-02-29,0,,,,,,,,,,,,,
Radovis,41.6383286,22.4647198,2020-02-29,0,,,,,,,,,,,,,
Kriva Palanka,42.2008781,22.3324394,2020-02-29,0,,,,,,,,,,,,,
Gevgelija ,41.1416588,22.5014095,2020-02-29,0,,,,,,,,,,,,,
Negotino,41.4845581,22.0905609,2020-02-29,0,,,,,,,,,,,,,
Resen,41.0893402,21.0109196,2020-02-29,0,,,,,,,,,,,,,
Delcevo ,41.9672203,22.7694397,2020-02-29,0,,,,,,,,,,,,,
Debar,41.5244408,20.52421,2020-02-29,0,,,,,,,,,,,,,
Vinica,41.8827782,22.5091705,2020-02-29,0,,,,,,,,,,,,,
